Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,ERR%,ERR_Level
2022-01-13,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,9.893492534101412,Excellent
2022-05-13,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,7.419236081367873,Excellent
2022-01-07,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,10.986519870242056,Excellent
2022-12-05,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,19.131522270796587,Excellent
2022-11-23,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,20.42890192102245,Excellent
2022-06-09,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,34.2364001894033,Excellent
2022-01-14,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,19.17677123943943,Excellent
2022-09-01,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,28.68340183533431,Excellent
2023-01-01,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,3.0964625342193073,Average
2023-08-09,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,11.083813310560416,Excellent
2023-02-26,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,11.862020568863562,Excellent
2022-03-16,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,6.875304306186765,Excellent
2022-11-08,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,23.845831177300884,Excellent
2023-12-19,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,17.88149478717852,Excellent
2022-04-05,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,6.331359582690865,Excellent
2023-07-09,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,86.22782921287347,Excellent
2022-09-17,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,5.895057800945935,High
2022-05-08,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,6.7872449477833126,Excellent
2023-04-24,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,13.377102303739393,Excellent
2022-01-26,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,2.857935697784582,Average
2023-08-02,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,42.80986251304675,Excellent
2022-01-07,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,12.426331235280875,Excellent
2023-07-19,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,78.83613217916259,Excellent
2022-09-08,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,5.40441971534658,High
2023-05-14,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,5.761021317110907,High
2022-05-22,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,21.715320386868164,Excellent
2023-09-30,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,10.40137081468305,Excellent
2023-10-23,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,6.828483456039357,Excellent
2022-03-22,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,18.994328728705273,Excellent
2022-03-10,Twitter,#Music,Video,USA,2342195,91944,89578,44440,9.647446092233993,Excellent
2022-07-08,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,1.1908937891340887,Average
2022-11-11,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,3.6779748365024756,High
2023-11-18,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,49.43068593214366,Excellent
2023-07-01,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,9.973994986517914,Excellent
2023-07-15,Instagram,#Dance,Video,India,1367820,10794,7617,36639,4.024652366539457,High
2022-09-28,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,13.349171518027546,Excellent
2022-01-31,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,8.2187759742484,Excellent
2022-03-03,Twitter,#Education,Reel,India,4380015,355402,41860,42729,10.04542221887368,Excellent
2022-03-17,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,45.967595757874484,Excellent
2022-09-10,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,4.207732958908716,High
2023-10-23,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,5.6601877595516985,High
2023-03-06,Twitter,#Comedy,Shorts,Germany,3934142,380972,42858,26194,11.438936367828106,Excellent
2023-06-02,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,25.863169018089195,Excellent
2023-11-07,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,6.069393548701972,Excellent
2023-04-29,Twitter,#Gaming,Live Stream,USA,4711157,313821,86074,36395,9.260782436246553,Excellent
2022-08-15,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,17.650743070426103,Excellent
2022-05-23,YouTube,#Dance,Post,Australia,2081426,225061,67840,28774,15.454548948653471,Excellent
2023-01-14,YouTube,#Music,Live Stream,Canada,2258494,159509,25505,8605,8.57292514392334,Excellent
2022-11-06,YouTube,#Comedy,Tweet,Japan,1357850,472399,90644,33331,43.92046249585742,Excellent
2023-01-13,Twitter,#Dance,Reel,USA,4006009,491965,60534,31438,14.57652741169578,Excellent
2023-08-25,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,12.822164015114648,Excellent
2022-06-30,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,4.145187406763904,High
2023-12-26,YouTube,#Challenge,Post,Germany,2291491,474568,83894,6150,24.639503275378345,Excellent
2023-05-31,Twitter,#Music,Live Stream,UK,3525573,40967,4121,26381,2.0271598404004116,Average
2023-04-21,TikTok,#Music,Reel,USA,866896,122451,79602,25491,26.24813126372714,Excellent
2023-10-24,YouTube,#Tech,Video,Australia,4104535,331535,60374,13314,9.872567781734107,Excellent
2023-02-23,TikTok,#Dance,Tweet,India,2601441,93254,55921,48758,7.608590777188488,Excellent
2023-12-05,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,24.951008292251515,Excellent
2023-12-11,YouTube,#Fashion,Shorts,Canada,2969591,358102,26688,8128,13.231384389298054,Excellent
2022-11-03,TikTok,#Education,Post,Japan,855465,14117,73654,46422,15.686556434219986,Excellent
2023-05-26,YouTube,#Viral,Video,Brazil,4453459,376054,36502,19620,9.704277057451298,Excellent
2023-06-10,Twitter,#Dance,Reel,Japan,1059696,75851,99754,47614,21.064437348069635,Excellent
2022-01-20,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,70.46599160558276,Excellent
2022-02-05,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,11.894728100118611,Excellent
2022-05-16,Twitter,#Dance,Reel,Japan,485214,50577,92342,43775,38.476630929857755,Excellent
2022-01-19,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,14.323368089477995,Excellent
2022-12-07,TikTok,#Fashion,Post,Germany,4378457,136878,89273,41624,6.115738946391389,Excellent
2022-06-12,TikTok,#Music,Post,India,3647159,216783,79133,7687,8.324369735457104,Excellent
2023-05-08,YouTube,#Gaming,Video,USA,1750105,125485,942,20317,8.384868336471241,Excellent
2023-05-12,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,12.818023468452195,Excellent
2022-05-10,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,4.0153966313192075,High
2023-08-29,Twitter,#Challenge,Video,Australia,612594,132163,29340,40557,32.98432567083582,Excellent
2022-01-27,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,4.277031741156575,High
2023-11-06,Twitter,#Viral,Shorts,Japan,3994554,241425,99422,41307,9.566875300721932,Excellent
2022-07-31,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,6.799976601389048,Excellent
2022-08-09,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,5.563956439809726,High
2023-03-29,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,5.5690207759888395,High
2023-10-28,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,2.832473509318987,Average
2022-10-05,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,17.910679688688166,Excellent
2022-12-28,Twitter,#Gaming,Post,India,1908555,194688,34182,3500,12.175179651621253,Excellent
